,title,rating,year,actors,runtime,url
207,Love Letter,7.9,1995,Miho Nakayama;Etsushi Toyokawa;Bunjaku Han;Katsuyuki Shinohara,117,https://www.imdb.com//title/tt0113703/
221,Mimi wo sumaseba,7.9,1995,Yoko Honna;Issey Takahashi;Takashi Tachibana;Shigeru Muroi,111,https://www.imdb.com//title/tt0113824/
211,Sai yau gei: Sin leui kei yun,8.0,1995,Stephen Chow;Man-Tat Ng;Athena Chu;Ada Choi,98,https://www.imdb.com//title/tt0114996/
214,12 Monkeys,8.0,1995,Bruce Willis;Madeleine Stowe;Brad Pitt;Joseph Melito,129,https://www.imdb.com//title/tt0114746/
215,Kôkaku Kidôtai,8.0,1995,Atsuko Tanaka;Iemasa Kayumi;Akio Ôtsuka;Kôichi Yamadera,83,https://www.imdb.com//title/tt0113568/
229,Sling Blade,8.0,1996,Billy Bob Thornton;Dwight Yoakam;J.T. Walsh;John Ritter,135,https://www.imdb.com//title/tt0117666/
230,Secrets and Lies,8.0,1996,Timothy Spall;Brenda Blethyn;Phyllis Logan;Claire Rushbrook,136,https://www.imdb.com//title/tt0117589/
225,Trainspotting,8.1,1996,Ewan McGregor;Ewen Bremner;Jonny Lee Miller;Kevin McKidd,93,https://www.imdb.com//title/tt0117951/
227,Tian mi mi,8.1,1996,Maggie Cheung;Leon Lai;Eric Tsang;Kristy Yeung,118,https://www.imdb.com//title/tt0117905/
228,Indian,8.1,1996,Kamal Haasan;Sukanya;Manisha Koirala;Urmila Matondkar,185,https://www.imdb.com//title/tt0116630/
239,Knockin' on Heaven's Door,7.9,1997,Til Schweiger;Jan Josef Liefers;Thierry van Werveke;Moritz Bleibtreu,87,https://www.imdb.com//title/tt0119472/
240,Brat,7.9,1997,Sergey Bodrov;Viktor Sukhorukov;Svetlana Pismichenko;Mariya Zhukova,96,https://www.imdb.com//title/tt0118767/
241,Border,7.9,1997,Sunny Deol;Suniel Shetty;Akshaye Khanna;Jackie Shroff,176,https://www.imdb.com//title/tt0118751/
242,Boogie Nights,7.9,1997,Mark Wahlberg;Julianne Moore;Burt Reynolds;Luis Guzmán,155,https://www.imdb.com//title/tt0118749/
233,Pâfekuto burû,8.0,1997,Junko Iwao;Rica Matsumoto;Shinpachi Tsuji;Masaaki Ôkura,81,https://www.imdb.com//title/tt0156887/
246,Ajans-E Shisheh-I,7.8,1998,Parviz Parastui;Reza Kianian;Habib Rezaei;Qasem Zare,114,https://www.imdb.com//title/tt0177511/
258,Mia aioniotita kai mia mera,7.9,1998,Bruno Ganz;Isabelle Renauld;Fabrizio Bentivoglio;Ahilleas Skevis,137,https://www.imdb.com//title/tt0156794/
247,Gemide,8.0,1998,Erkan Can;Haldun Boysan;Yildiray Sahinler;Naci Tasdögen,102,https://www.imdb.com//title/tt0200654/
249,Rane,8.0,1998,Dusan Pekic;Milan Maric;Dragan Bjelogrlic;Branka Katic,103,https://www.imdb.com//title/tt0165546/
250,Central do Brasil,8.0,1998,Fernanda Montenegro;Vinícius de Oliveira;Marília Pêra;Soia Lira,108,https://www.imdb.com//title/tt0140888/
262,Wo de fu qin mu qin,7.8,1999,Ziyi Zhang;Honglei Sun;Hao Zheng;Yulian Zhao,89,https://www.imdb.com//title/tt0235060/
268,Todo sobre mi madre,7.9,1999,Cecilia Roth;Marisa Paredes;Candela Peña;Antonia San Juan,101,https://www.imdb.com//title/tt0185125/
269,Toy Story 2,7.9,1999,Tom Hanks;Tim Allen;Joan Cusack;Kelsey Grammer,92,https://www.imdb.com//title/tt0120363/
276,La ley de Herodes,7.9,1999,Damián Alcázar;Pedro Armendáriz Jr.;Delia Casanova;Juan Carlos Colombo,123,https://www.imdb.com//title/tt0221344/
264,The Straight Story,8.0,1999,Richard Farnsworth;Sissy Spacek;Jane Galloway Heitz;Joseph A. Carpenter,112,https://www.imdb.com//title/tt0166896/
280,Brat 2,7.8,2000,Sergey Bodrov;Viktor Sukhorukov;Sergey Makovetskiy;Irina Saltykova,122,https://www.imdb.com//title/tt0238883/
281,Gongdong gyeongbi guyeok JSA,7.8,2000,Lee Yeong-ae;Lee Byung-hun;Kang-ho Song;Kim Tae-Woo,110,https://www.imdb.com//title/tt0260991/
282,Remember the Titans,7.8,2000,Denzel Washington;Will Patton;Wood Harris;Ryan Hurst,113,https://www.imdb.com//title/tt0210945/
285,Wo hu cang long,7.8,2000,Chow Yun-Fat;Michelle Yeoh;Ziyi Zhang;Chang Chen,120,https://www.imdb.com//title/tt0190332/
283,Nueve reinas,7.9,2000,Ricardo Darín;Gastón Pauls;Graciela Tenenbaum;María Mercedes Villagra,114,https://www.imdb.com//title/tt0247586/
302,Baran,7.8,2001,Hossein Abedini;Zahra Bahrami;Mohammad Amir Naji;Hossein Mahjoub,94,https://www.imdb.com//title/tt0233841/
309,Nayak: The Real Hero,7.8,2001,Anil Kapoor;Rani Mukerji;Amrish Puri;Johny Lever,187,https://www.imdb.com//title/tt0291376/
310,Son of the Bride,7.8,2001,Ricardo Darín;Héctor Alterio;Norma Aleandro;Eduardo Blanco,123,https://www.imdb.com//title/tt0292542/
317,Waking Life,7.8,2001,Ethan Hawke;Trevor Jack Brooks;Lorelei Linklater;Wiley Wiggins,99,https://www.imdb.com//title/tt0243017/
306,Shrek,7.9,2001,Mike Myers;Eddie Murphy;Cameron Diaz;John Lithgow,90,https://www.imdb.com//title/tt0126029/
324,Jibeuro,7.8,2002,Yoo Seung-ho;Eul-boon Kim;Hyo-hee Dong;Kyung-hyun Min,80,https://www.imdb.com//title/tt0312841/
