,Unnamed: 0,title,rating,year,actors,languages,runtime,url
76,281,Gongdong gyeongbi guyeok JSA,7.8,2000,Lee Yeong-ae;Lee Byung-hun;Kang-ho Song;Kim Tae-Woo,Korean;English;German,110,https://www.imdb.com//title/tt0260991/
77,282,Remember the Titans,7.8,2000,Denzel Washington;Will Patton;Wood Harris;Ryan Hurst,English,113,https://www.imdb.com//title/tt0210945/
80,310,Son of the Bride,7.8,2001,Ricardo Darín;Héctor Alterio;Norma Aleandro;Eduardo Blanco,Spanish,123,https://www.imdb.com//title/tt0292542/
78,302,Baran,7.8,2001,Hossein Abedini;Zahra Bahrami;Mohammad Amir Naji;Hossein Mahjoub,Kurdish;Persian;Azerbaijani,94,https://www.imdb.com//title/tt0233841/
79,309,Nayak: The Real Hero,7.8,2001,Anil Kapoor;Rani Mukerji;Amrish Puri;Johny Lever,Hindi,187,https://www.imdb.com//title/tt0291376/
83,329,Bang Bang You're Dead,7.8,2002,Tom Cavanagh;Ben Foster;Randy Harrison;Janel Moloney,English,93,https://www.imdb.com//title/tt0288439/
81,324,Jibeuro,7.8,2002,Yoo Seung-ho;Eul-boon Kim;Hyo-hee Dong;Kyung-hyun Min,Korean,80,https://www.imdb.com//title/tt0312841/
82,325,Kukushka,7.8,2002,Anni-Kristiina Juuso;Ville Haapasalo;Viktor Bychkov;Mikhail Korobochkin,Saami;Finnish;Russian;German,99,https://www.imdb.com//title/tt0308476/
84,342,Soldier's Girl,7.8,2003,Troy Garity;Lee Pace;Andre Braugher;Shawn Hatosy,English,112,https://www.imdb.com//title/tt0324013/
85,343,Ondskan,7.8,2003,Andreas Wilson;Henrik Lundström;Gustaf Skarsgård;Linda Zilliacus,Swedish;Finnish,113,https://www.imdb.com//title/tt0338309/
86,344,Les triplettes de Belleville,7.8,2003,Michèle Caucheteux;Jean-Claude Donda;Michel Robin;Monica Viegas,French;Portuguese;English,80,https://www.imdb.com//title/tt0286244/
88,370,Mind Game,7.8,2004,Kôji Imada;Sayaka Maeda;Takashi Fujii;Seiko Takuma,Japanese,103,https://www.imdb.com//title/tt0452039/
87,369,Arya,7.8,2004,Allu Arjun;Anuradha Mehta;Siva Balaji;Rajan P. Dev,Telugu,151,https://www.imdb.com//title/tt0431619/
89,374,Veer-Zaara,7.8,2004,Shah Rukh Khan;Preity Zinta;Rani Mukerji;Kirron Kher,Hindi,192,https://www.imdb.com//title/tt0420332/
91,412,Burt Munro: The World's Fastest Indian,7.8,2005,Anthony Hopkins;Diane Ladd;Iain Rea;Tessa Mitchell,English,127,https://www.imdb.com//title/tt0412080/
90,409,"Va, vis et deviens",7.8,2005,Yaël Abecassis;Roschdy Zem;Moshe Agazai;Moshe Abebe,Hebrew;French;Amharic,140,https://www.imdb.com//title/tt0388505/
92,413,Serenity,7.8,2005,Nathan Fillion;Gina Torres;Chiwetel Ejiofor;Alan Tudyk,English;Mandarin,119,https://www.imdb.com//title/tt0379786/
94,443,Kader,7.8,2006,Ufuk Bayraktar;Vildan Atasever;Engin Akyürek;Müge Ulusoy,Turkish,103,https://www.imdb.com//title/tt0875595/
93,427,Little Miss Sunshine,7.8,2006,Steve Carell;Toni Collette;Greg Kinnear;Abigail Breslin,English,101,https://www.imdb.com//title/tt0449059/
95,444,Kiraware Matsuko no isshô,7.8,2006,Miki Nakatani;Eita Nagayama;Yûsuke Iseya;Mikako Ichikawa,Japanese;English,130,https://www.imdb.com//title/tt0768120/
