title,rating,year,actors,runtime,languages,url
The Day the Earth Caught Fire,7.2,1961,Edward Judd;Janet Munro;Leo McKern;Michael Goodliffe,99,English,https://www.imdb.com//title/tt0054790/
Sweet Bird of Youth,7.2,1962,Paul Newman;Geraldine Page;Shirley Knight;Ed Begley,120,English,https://www.imdb.com//title/tt0056541/
Mutiny on the Bounty,7.2,1962,Marlon Brando;Trevor Howard;Richard Harris;Hugh Griffith,178,English;Polynesian;French;Dutch,https://www.imdb.com//title/tt0056264/
De stem in het duister,7.2,1962,Glenn Ford;Lee Remick;Stefanie Powers;Roy Poole,123,English;Cantonese,https://www.imdb.com//title/tt0055972/
Dr. No,7.2,1962,Sean Connery;Ursula Andress;Bernard Lee;Joseph Wiseman,110,English;French,https://www.imdb.com//title/tt0055928/
Ride the High Country,7.4,1962,Joel McCrea;Randolph Scott;Mariette Hartley;Ron Starr,94,English;Chinese,https://www.imdb.com//title/tt0056412/
Jason and the Argonauts,7.3,1963,Todd Armstrong;Nancy Kovack;Gary Raymond;Laurence Naismith,104,English,https://www.imdb.com//title/tt0057197/
Billy Liar,7.3,1963,Tom Courtenay;Julie Christie;Wilfred Pickles;Mona Washbourne,98,English,https://www.imdb.com//title/tt0056868/
Ieri oggi domani,7.2,1963,Sophia Loren;Marcello Mastroianni;Aldo Giuffrè;Agostino Salvietti,117,Italian,https://www.imdb.com//title/tt0057171/
The Sword in the Stone,7.2,1963,Rickie Sorensen;Sebastian Cabot;Karl Swenson;Junius Matthews,79,English,https://www.imdb.com//title/tt0057546/
Murder at the Gallop,7.2,1963,Margaret Rutherford;Stringer Davis;Robert Morley;Flora Robson,81,English,https://www.imdb.com//title/tt0057334/
The Naked Kiss,7.2,1964,Constance Towers;Anthony Eisley;Michael Dante;Virginia Grey,90,English,https://www.imdb.com//title/tt0058390/
The Americanization of Emily,7.3,1964,James Garner;Julie Andrews;Melvyn Douglas;James Coburn,115,English,https://www.imdb.com//title/tt0057840/
Dead Ringer,7.3,1964,Bette Davis;Karl Malden;Peter Lawford;Philip Carey,116,English,https://www.imdb.com//title/tt0057997/
Gertrud,7.3,1964,Nina Pens Rode;Bendt Rothe;Ebbe Rode;Baard Owe,116,Danish,https://www.imdb.com//title/tt0058138/
Father Goose,7.4,1964,Cary Grant;Leslie Caron;Trevor Howard;Jack Good,118,English;French;Japanese,https://www.imdb.com//title/tt0058092/
Help!,7.2,1965,John Lennon;Paul McCartney;George Harrison;Ringo Starr,92,English,https://www.imdb.com//title/tt0059260/
The Great Race,7.2,1965,Tony Curtis;Natalie Wood;Jack Lemmon;Peter Falk,160,English,https://www.imdb.com//title/tt0059243/
The Cincinnati Kid,7.2,1965,Steve McQueen;Ann-Margret;Edward G. Robinson;Karl Malden,102,English,https://www.imdb.com//title/tt0059037/
Ipcress... Streng geheim,7.2,1965,Michael Caine;Nigel Green;Guy Doleman;Sue Lloyd,109,English;Albanian,https://www.imdb.com//title/tt0059319/
Mirage,7.2,1965,Gregory Peck;Diane Baker;Walter Matthau;Kevin McCarthy,108,English,https://www.imdb.com//title/tt0059448/
The Chase,7.2,1966,Marlon Brando;Jane Fonda;Robert Redford;E.G. Marshall,134,English;Spanish,https://www.imdb.com//title/tt0060232/
Born Free,7.2,1966,Virginia McKenna;Bill Travers;Geoffrey Keen;Peter Lukoye,95,English,https://www.imdb.com//title/tt0060182/
Fahrenheit 451,7.2,1966,Oskar Werner;Julie Christie;Cyril Cusack;Anton Diffring,112,English,https://www.imdb.com//title/tt0060390/
Grand Prix,7.2,1966,James Garner;Eva Marie Saint;Yves Montand;Toshirô Mifune,176,English;French;Italian;Japanese,https://www.imdb.com//title/tt0060472/
Django,7.2,1966,Franco Nero;José Canalejas;José Bódalo;Loredana Nusciak,91,Italian,https://www.imdb.com//title/tt0060315/
The Night of the Generals,7.2,1967,Peter O'Toole;Omar Sharif;Tom Courtenay;Donald Pleasence,148,English;Italian;Spanish;French;German,https://www.imdb.com//title/tt0062038/
Far from the Madding Crowd,7.2,1967,Julie Christie;Peter Finch;Alan Bates;Terence Stamp,168,English,https://www.imdb.com//title/tt0061648/
