title,rating,year,actors,runtime,url
The Silence of the Lambs,8.6,1991,Jodie Foster;Anthony Hopkins;Lawrence A. Bonney;Kasi Lemmons,118,https://www.imdb.com//title/tt0102926/
Thalapathi,8.5,1991,Rajinikanth;Mammootty;Shobana;Arvind Swamy,157,https://www.imdb.com//title/tt0101649/
Terminator 2: Judgment Day,8.5,1991,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong;Robert Patrick,137,https://www.imdb.com//title/tt0103064/
Pappa ante Portas,7.9,1991,Evelyn Hamann;Vicco von Bülow;Irm Hermann;Hans-Peter Korff,89,https://www.imdb.com//title/tt0102629/
JFK,8.0,1991,Kevin Costner;Gary Oldman;Jack Lemmon;Walter Matthau,189,https://www.imdb.com//title/tt0102138/
Gu ling jie shao nian sha ren shi jian,8.4,1991,Chang Chen;Lisa Yang;Kuo-Chu Chang;Elaine Jin,237,https://www.imdb.com//title/tt0101985/
Tito i ja,8.0,1992,Dimitrije Vojnov;Lazar Ristovski;Predrag 'Miki' Manojlovic;Anica Dobra,118,https://www.imdb.com//title/tt0105602/
Unforgiven,8.2,1992,Clint Eastwood;Gene Hackman;Morgan Freeman;Richard Harris,130,https://www.imdb.com//title/tt0105695/
Roja,8.2,1992,Arvind Swamy;Madhoo;Pankaj Kapur;Nassar,137,https://www.imdb.com//title/tt0105271/
Mi nismo andjeli,8.4,1992,Nikola Kojo;Milena Pavlovic;Branka Katic;Srdjan 'Zika' Todorovic,98,https://www.imdb.com//title/tt0104860/
Scent of a Woman,8.0,1992,Al Pacino;Chris O'Donnell;James Rebhorn;Gabrielle Anwar,156,https://www.imdb.com//title/tt0105323/
Aladdin,8.0,1992,Scott Weinger;Robin Williams;Linda Larkin;Jonathan Freeman,90,https://www.imdb.com//title/tt0103639/
Reservoir Dogs,8.3,1992,Harvey Keitel;Tim Roth;Michael Madsen;Chris Penn,99,https://www.imdb.com//title/tt0105236/
And Life Goes on...,7.9,1992,Farhad Kheradmand;Buba Bayour;Hossein Rezai;Hocine Rifahi,95,https://www.imdb.com//title/tt0105888/
Thevar Magan,8.7,1992,Kamal Haasan;Shivaji Ganesan;Nassar;Revathi,145,https://www.imdb.com//title/tt0105575/
Jo Jeeta Wohi Sikandar,8.2,1992,Aamir Khan;Ayesha Jhulka;Deepak Tijori;Pooja Bedi,174,https://www.imdb.com//title/tt0104561/
In the Name of the Father,8.1,1993,Daniel Day-Lewis;Pete Postlethwaite;Alison Crosbie;Philip King,133,https://www.imdb.com//title/tt0107207/
The Nightmare Before Christmas,8.0,1993,Danny Elfman;Chris Sarandon;Catherine O'Hara;William Hickey,76,https://www.imdb.com//title/tt0107688/
